phi1_center,phi2_prior,dm_baseline,dm_best_raw,dm_err,dm_interp,snr_best,score_best,score_second,n_local,n_on,n_off,success
-19.0,1.8408944606781006,16.698638916015625,16.378639221191406,0.4000000059604645,16.41823959350586,5.402487277984619,315.7132568359375,5.401967525482178,204087,10828,19979,1
-17.0,1.6641432046890259,16.698638916015625,16.468639373779297,0.33500000834465027,16.47788429260254,4.244866371154785,240.0486602783203,4.244207382202148,193089,9983,19194,1
-15.0,1.379777431488037,16.698638916015625,16.54863929748535,0.3700000047683716,16.748558044433594,8.13254451751709,447.0506591796875,8.130760192871094,182193,9553,17532,1
-13.0,1.1115235090255737,16.698638916015625,16.968639373779297,0.4000000059604645,16.80951499938965,12.78643798828125,691.4326782226562,12.781061172485352,170956,9124,16142,1
-11.0,0.7302894592285156,16.698638916015625,16.818639755249023,0.38999998569488525,16.962257385253906,9.530794143676758,495.9211120605469,9.527937889099121,133316,8264,15246,1
-9.0,0.38115689158439636,16.698638916015625,17.0986385345459,0.4000000059604645,16.775299072265625,9.438251495361328,473.3551940917969,9.424041748046875,113057,8216,14712,1
-7.0,0.04491018131375313,16.698638916015625,16.448638916015625,0.4000000059604645,16.695281982421875,10.606913566589355,541.6685180664062,10.605424880981445,112138,7941,14129,1
-5.0,-0.2611261308193207,16.698638916015625,16.628639221191406,0.33000001311302185,16.616443634033203,17.869279861450195,966.342041015625,17.866456985473633,123996,8203,13589,1
-3.0,-0.32772892713546753,16.698638916015625,16.678638458251953,0.3149999976158142,16.686962127685547,25.113847732543945,1463.591552734375,25.11092758178711,147572,8971,13822,1
-1.0,-0.15915098786354065,16.698638916015625,16.725000381469727,0.05000000074505806,16.70492935180664,32.89535903930664,2184.7255859375,32.89139938354492,159835,9894,14686,1
1.0,0.208246111869812,16.283767700195312,16.683767318725586,0.17000000178813934,16.67396354675293,29.515121459960938,1961.4586181640625,29.494834899902344,170468,10073,15872,1
3.0,0.5975877642631531,16.283767700195312,16.65376853942871,0.22499999403953552,16.67591667175293,14.327190399169922,839.9419555664062,14.324880599975586,182327,9663,17322,1
5.0,1.1186559200286865,16.283767700195312,16.683767318725586,0.14499999582767487,16.672136306762695,10.901019096374512,675.7692260742188,10.858413696289062,191294,11944,20084,1
7.0,1.7679522037506104,16.283767700195312,16.683767318725586,0.15000000596046448,16.683767318725586,11.725525856018066,793.9263305664062,11.665570259094238,197220,12612,22591,1
9.0,2.255587339401245,16.283767700195312,16.683767318725586,0.17000000178813934,16.683767318725586,3.8130297660827637,241.7857666015625,3.766011953353882,190344,11533,21638,1
