phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,n_depth,cluster_bin,success,sampler_used,optimizer_success,sampler_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_neglogpost,acc_frac,track_poly,track_resid
-20.0,-20.5625,-19.4375,0.40034475685255466,3.4003447568525544,2868,2124,14744,False,True,emcee,True,True,emcee_ok,1.9003447568525547,0.35,0.01974526612532596,0.021449565535387318,1.795187509564993,0.30627543777397215,0.4295894369417441,0.5637729725175066,-0.0684912716504198,0.026948883998818476,56.62942324743485,61.517353955490826,50.33726510883098,54.682092404880734,46.746175778087725,79.63810454903756,3159.0848676706373,0.431640625,2.8004558460903324,-1.0052683365253394
-19.25,-19.8125,-18.6875,0.35864961625831926,3.3586496162583193,2997,2106,14797,False,True,emcee,True,True,emcee_ok,1.8586496162583193,0.35,0.024147928216019476,0.021362900195137986,1.9759837992406775,0.2059371791321134,0.2760772951003103,0.269664185739341,-0.04632384860014488,0.023777423371527856,72.37134086341037,64.02461188482854,64.33008076747588,56.910766119847594,92.95943409783258,122.50622758436957,3295.1787180798115,0.5194498697916666,2.5636935701039323,-0.5877097708632548
-18.5,-19.0625,-17.9375,0.3053843056855201,3.30538430568552,2894,2088,14542,False,True,emcee,True,True,emcee_ok,1.80538430568552,0.35,0.02352559510859422,0.024694569453375285,1.9678591754353596,0.22059171908674613,0.3521949516563128,0.44641721619190006,0.019671921107101968,0.02781312846098189,68.08307224427168,71.46608399806807,60.5182864393526,63.52540799828273,68.55096327917418,112.81741408477171,3168.9823592036537,0.4789225260416667,2.336109583338575,-0.3682504079032156
-17.75,-18.3125,-17.1875,0.24054882513415743,3.2405488251341574,2862,2054,14215,False,True,emcee,True,True,emcee_ok,1.7405488251341574,0.35,0.025942537459276473,0.02373967326798735,1.8053086491343941,0.1859634465340817,0.31567209234034793,0.33324581186742824,0.04725526149270685,0.026157150998659433,74.24754220844926,67.9429448929798,65.99781529639934,60.39372879375982,83.40717971188485,116.52626834454145,3130.5967985685897,0.515625,2.1177038857942607,-0.31239523665986657
-17.0,-17.5625,-16.4375,0.16414317460422856,3.1641431746042286,2728,1886,13676,False,False,emcee,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH;emcee_ok,1.6641431746042286,0.35,0.0427074168884964,0.0483425385015989,1.848126155141645,0.26168870406380895,0.5643423451322452,0.6455182112135635,-0.0005636455974891379,0.029621128074283683,116.50583327181818,131.87844503236178,103.5607406860606,117.22528447321048,73.20867981238754,117.81089090949149,2976.875457230624,0.4628499348958333,1.9084764774709895,-0.06035032232934445
-16.25,-16.8125,-15.6875,0.18863590368408278,3.188635903684083,2669,1826,13538,False,True,emcee,True,True,emcee_ok,1.6886359036840828,0.35,0.02406030006831905,0.019045306781189417,1.3661743255478265,0.11987279053239841,0.08246998212370989,0.11451041719242287,-0.014094691131591395,0.02748617592609062,64.21694088234355,50.83192379899455,57.081725228749825,45.18393226577294,276.1285142252804,441.33396190971797,2924.6478296101827,0.4485677083333333,1.7084273583687606,-0.3422530328209341
-15.5,-16.0625,-14.9375,-0.03141970079416723,2.9685802992058328,2515,1842,13053,False,True,emcee,True,True,emcee_ok,1.4685802992058328,0.35,0.02116415771556691,0.020456228381496525,1.5692193432952124,0.2372589736778452,0.33532220256423984,0.3172966376016722,-0.0002770426571131453,0.025309553690888966,53.22785665465078,51.44741437946376,47.31365035968958,45.73103500396778,56.290384067230214,76.1398510490426,2764.6338404008166,0.53955078125,1.5175565284875752,0.051662814807637236
-14.75,-15.3125,-14.1875,-0.16462399225194102,2.835376007748059,2457,1792,12618,False,True,emcee,True,True,emcee_ok,1.335376007748059,0.35,0.028217286425899917,0.027702089919686933,1.3534864771753825,0.15736517445792508,0.13877068449754792,0.20571503682280448,-0.08770321860532164,0.02973584828725147,69.3298727484361,68.0640349326708,61.626553554165426,60.50136438459626,177.1659331161849,315.0046214189215,2674.1590202170487,0.4181722005208333,1.335863987827432,0.01762248934795041
-14.0,-14.5625,-13.4375,-0.2894996085702002,2.7105003914298,2465,1743,12437,False,True,emcee,True,True,emcee_ok,1.2105003914297998,0.35,0.04240973456150806,0.05239899724841388,1.3031878622006512,0.10335116819912582,0.11328813941381427,0.15164046045453192,-0.06780651488560135,0.046010024224123425,104.53999569411737,129.16352821734023,92.92444061699321,114.8120250820802,327.2318570733833,596.0873794199157,2681.448197844317,0.3817952473958333,1.1633497363883318,0.13983812581231936
-13.25,-13.8125,-12.6875,-0.3506610970241679,2.649338902975832,2379,1649,12062,False,True,emcee,True,True,emcee_ok,1.149338902975832,0.35,0.12547919970000188,0.036002711016432626,1.0204242655277158,0.0965344149128311,0.4265073551267507,0.0888307964112484,0.05641770334051314,0.03369376734733868,298.51501608630446,85.65044950809322,265.346680965604,76.13373289608286,248.19738447396833,87.99727617994525,2587.0018312359716,0.5661214192708334,1.0000137741702746,0.02041049135744122
-12.5,-13.0625,-11.9375,-0.464107211201062,2.5358927887989378,2307,1622,11653,False,True,emcee,True,True,emcee_ok,1.035892788798938,0.35,0.10414500561509339,0.020726981530814502,0.9172364281936065,0.04434467712324702,0.249761356837376,0.049762541438935146,0.06486583626730097,0.027121721619513938,240.26252795402044,47.817146391589056,213.56669151468483,42.50413012585694,341.1287639109576,96.06627050756403,2493.5895914857983,0.5891927083333334,0.8458561011732599,0.07138032702034658
-11.75,-12.3125,-11.1875,-0.6285232688895739,2.371476731110426,2175,1562,11273,False,True,emcee,True,True,emcee_ok,0.8714767311104261,0.35,0.07258239352713663,0.01929040637459802,0.9251356589542621,0.047460593919504246,0.19851431871587782,0.0577934446269835,0.04694321443705888,0.02563776182406224,157.86670592152217,41.95663386475069,140.3259608191308,37.29478565755617,282.0046391153774,111.1655096672839,2363.626955505965,0.586669921875,0.7008767173972883,0.2242589415569738
-11.0,-11.5625,-10.4375,-0.7697105120167109,2.2302894879832893,2146,1644,11304,False,True,emcee,True,True,emcee_ok,0.7302894879832891,0.35,0.07266058397335053,0.019041113913670252,0.6589061972265366,0.05493685563370787,0.2228353222568412,0.06191410709151656,0.042955305243459,0.027299709904363003,155.92961320681022,40.86223045873636,138.60410062827575,36.32198262998788,248.14304759952114,94.77377070378208,2344.8431263509515,0.5923665364583334,0.5650756228423592,0.09383057438417741
-10.25,-10.8125,-9.6875,-0.8947663368973917,2.1052336631026085,2088,1566,10922,False,True,emcee,True,True,emcee_ok,0.6052336631026083,0.35,0.17000885733270266,0.07592098604571854,0.42522231498296126,0.11987863035339164,0.5557589616065048,0.18174392134062037,0.10498508824148606,0.0506235440759319,354.97849411068313,158.5230188634603,315.5364392094961,140.9093501008536,226.50255831072334,125.37015655016447,2270.2246377781044,0.5666910807291666,0.43845281750847337,-0.013230502525512111
-9.5,-10.0625,-8.9375,-1.0282842428982042,1.9717157571017958,2041,1487,10644,False,True,emcee,True,True,emcee_ok,0.4717157571017958,0.35,0.09592922624738762,0.015767208731350225,0.270888137692564,0.03211534168046354,0.18953439829324212,0.029071769253532352,0.04491371014749751,0.028093186804615457,195.79155077091812,32.18087302068581,174.03693401859388,28.60522046283183,366.322377134046,82.35509472323733,2218.3889876774415,0.5909423828125,0.32100830139563014,-0.050120163703066156
-8.75,-9.3125,-8.1875,-1.1641225444877525,1.8358774555122475,2028,1564,10721,False,True,emcee,True,True,emcee_ok,0.33587745551224757,0.35,0.06689787643357295,0.015031426742009593,0.2737375786772446,0.033917881482850853,0.14536807960156464,0.03590366595640857,-0.03291976827205815,0.028042927081813388,135.66889340728594,30.483733432795454,120.5945719175875,27.096651940262625,330.95486751081154,110.50518651959472,2208.939834354908,0.5919189453125,0.21274207450382993,0.06099550417341465
-8.0,-8.5625,-7.4375,-1.2889769410928507,1.7110230589071493,2064,1541,10572,False,True,emcee,True,True,emcee_ok,0.2110230589071494,0.35,0.047969587479295264,0.01272451095739693,0.1406863301912123,0.02995249050000927,0.10769925529096654,0.03355467602764962,-0.007067599777925661,0.02771513401685348,99.00922855726543,26.263390616067266,88.00820316201371,23.345236103170905,326.00219164589953,133.39545432622637,2259.9562156263514,0.5856119791666666,0.1136541368330724,0.02703219335813989
-7.25,-7.8125,-6.6875,-1.4096807886558471,1.5903192113441529,2069,1583,10457,False,True,emcee,True,True,emcee_ok,0.0903192113441528,0.35,0.06536615771245602,0.027040208486935512,0.08484972838232627,0.07539032146556363,0.1422124304319039,0.08778914478308768,0.00975893263140269,0.02946077750197255,135.2425803070715,55.94619135946957,120.21562693961911,49.729947875084065,337.23561439408763,250.5996052831291,2251.4032325197645,0.5287679036458334,0.023744488383357798,0.06110523999896847
-6.5,-7.0625,-5.9375,-1.545907882306734,1.454092117693266,2044,1569,10269,False,True,emcee,True,True,emcee_ok,-0.045907882306733955,0.35,0.11810879768383528,0.030962284568260334,-0.03617998645236789,0.042260039051861466,0.25332539336847815,0.0898875456123239,0.06723328813010263,0.029027658989989682,241.4143824657593,63.28690965752412,214.59056219178603,56.255030806688104,337.94183478832065,149.08847137435157,2196.5884410197755,0.5865885416666666,-0.05698687084531401,0.020806884392946118
-5.75,-6.3125,-5.1875,-1.6921134516294951,1.3078865483705049,2120,1618,10270,False,True,emcee,True,True,emcee_ok,-0.19211345162949506,0.35,0.08362095095852615,0.014712025933833733,-0.21950312124331628,0.023505068871226317,0.13809480832358226,0.02489198466726308,0.03127160937997645,0.028199377679398095,177.27641603207542,31.189494979727513,157.57903647295592,27.72399553753557,455.23029371732156,114.66468649188607,2285.9606934946255,0.5884195963541666,-0.12853994085294304,-0.09096318039037324
-5.0,-5.5625,-4.4375,-1.7611261211708422,1.2388738788291578,2124,1691,10303,False,True,emcee,True,True,emcee_ok,-0.26112612117084233,0.35,0.11504708397661441,0.01566436617665415,-0.2863111601136574,0.025064393228124204,0.1685623814559604,0.024847754389882553,-0.040047346051681615,0.0291910908270601,244.360006366329,33.271113759213414,217.208894547848,29.574323341523034,514.0756256877665,103.15917932744648,2258.2840723712416,0.5890299479166666,-0.19091472163952916,-0.09539643847412826
