phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,n_depth,cluster_bin,success,sampler_used,optimizer_success,sampler_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_neglogpost,acc_frac,track_poly,track_resid
-20.0,-20.5625,-19.4375,0.40034475685255466,3.4003447568525544,2868,2124,14744,False,True,map,True,True,laplace_ok,1.9003447568525547,0.35,0.012387813510413723,0.0044820436717286334,1.7443348405322097,0.016112516495232067,0.03402383489872624,0.012463298878207208,-0.06344944645509738,0.0217331962591006,35.52824914786655,12.854501250517721,31.580665909214716,11.42622333379353,370.2952036982042,190.65370967193417,3159.0848676706373,nan,2.1578429971867346,-0.4135081566545249
-19.25,-19.8125,-18.6875,0.35864961625831926,3.3586496162583193,2997,2106,14797,False,True,map,True,True,laplace_ok,1.8586496162583193,0.35,0.02941448217252007,0.01170888302128348,2.01058508191725,0.09341576429680283,0.19417236353690165,0.07581880347345707,-0.0482095865720669,0.021723721689420755,88.15520307104265,35.09152241478659,78.36018050759347,31.19246436869919,160.997108625225,89.77289569585402,3295.1787180798115,nan,2.011333777646251,-0.0007486957290008256
-18.5,-19.0625,-17.9375,0.3053843056855201,3.30538430568552,2894,2088,14542,False,True,map,True,True,laplace_ok,1.80538430568552,0.35,0.015010977283868198,0.005660661208100309,1.9343833612433734,0.024834625236166554,0.050653490849489995,0.019563868644730115,0.022479543841946323,0.022101448987665463,43.44176825951457,16.381953536242293,38.614905119568505,14.561736476659815,304.1274756691468,164.1664979680425,3168.9823592036537,nan,1.8681927143116355,0.06619064693173793
-17.75,-18.3125,-17.1875,0.24054882513415743,3.2405488251341574,2862,2054,14215,False,True,map,True,True,laplace_ok,1.7405488251341574,0.35,0.023336060182229612,0.009141428453520138,1.8089006861726156,0.056146764757896594,0.11566717059311948,0.048553441086766465,0.046150558150138854,0.022366755077183012,66.78780424154115,26.162768233974635,59.366937103592136,23.255793985755233,204.75975289365576,117.56452312633684,3130.5967985685897,nan,1.7284198071828885,0.08048087898972711
-17.0,-17.5625,-16.4375,0.16414317460422856,3.1641431746042286,2728,1886,13676,False,True,map,True,True,laplace_ok,1.6641431746042286,0.35,0.016104727476957473,0.005693792469679158,1.9407414365320594,0.018317983815301912,0.04268439595294008,0.016895667426984527,0.0011873727115820545,0.02275561708179459,43.93369655713999,15.532665857284742,39.05217471745777,13.806814095364215,364.99435656988993,193.7139257121676,2976.875457230624,nan,1.5920150562600088,0.3487263802720506
-16.25,-16.8125,-15.6875,0.18863590368408278,3.188635903684083,2669,1826,13538,False,True,map,True,True,laplace_ok,1.6886359036840828,0.35,0.022066131493842962,0.006397011336470321,1.3551298583564144,0.018592725427535244,0.054791739559831736,0.01674806932071062,-0.01558896612746385,0.02313810200104942,58.894504957066864,17.073623257039287,52.35067107294832,15.176554006257144,381.1686992631679,160.57830117567465,2924.6478296101827,nan,1.458978461542997,-0.10384860318658262
-15.5,-16.0625,-14.9375,-0.03141970079416723,2.9685802992058328,2515,1842,13053,False,True,map,True,True,laplace_ok,1.4685802992058328,0.35,0.03295920440405757,0.014964631091439182,1.589760870569917,0.13256798125814562,0.2742907876988708,0.09390068174191428,-0.0012800581013521146,0.024408183255985833,82.8923990762048,37.63604719496954,73.68213251218204,33.45426417330626,107.1669895145059,60.93876841669252,2764.6338404008166,nan,1.3293100230318529,0.26045084753806425
-14.75,-15.3125,-14.1875,-0.16462399225194102,2.835376007748059,2457,1792,12618,False,True,map,True,True,laplace_ok,1.335376007748059,0.35,0.019774350317607,0.0076652202022232975,1.3524893715173825,0.015738654458157877,0.03826309065948902,0.023787546328312065,-0.0804092294130923,0.024150106264980296,48.585578730360396,18.833446036862643,43.187181093653685,16.740840921655682,450.28230110677436,329.891741029371,2674.1590202170487,nan,1.203009740726577,0.1494796307908055
-14.0,-14.5625,-13.4375,-0.2894996085702002,2.7105003914298,2465,1743,12437,False,True,map,True,True,laplace_ok,1.2105003914297998,0.35,0.03482590998740557,0.008853284592520737,1.2965032840819029,0.02252565744740334,0.079295248336632,0.0224055455929392,-0.0586548924450864,0.02480231288227222,85.84586811895473,21.823346520563618,76.30743832795976,19.398530240500993,383.91031110605087,145.91864700057462,2681.448197844317,nan,1.0800776146271684,0.2164256694547344
-13.25,-13.8125,-12.6875,-0.3506610970241679,2.649338902975832,2379,1649,12062,False,True,map,True,True,laplace_ok,1.149338902975832,0.35,0.12924626947952356,0.028215166195629967,1.013575928565442,0.07718318856320557,0.41791347204576695,0.06377303282964983,0.0588181579969957,0.03146318133774092,307.47687509178655,67.12388037940369,273.31277785936584,59.665671448358836,260.9057380426462,69.49287994808466,2587.0018312359716,nan,0.960513644733628,0.053062283831813994
