phi1_center,phi2_prior,dm_baseline,dm_best_raw,dm_err,dm_interp,snr_best,score_best,score_second,n_local,n_on,n_off,success
-19.0,1.8408944606781006,16.698638916015625,nan,nan,16.825035095214844,2.379049301147461,69.53465270996094,2.3765809535980225,204087,10828,19979,0
-17.0,1.6641432046890259,16.698638916015625,nan,nan,16.825035095214844,0.9381842613220215,25.036367416381836,0.9362590312957764,193089,9983,19194,0
-15.0,1.379777431488037,16.698638916015625,16.568639755249023,0.32499998807907104,16.825035095214844,3.7650532722473145,98.48565673828125,3.7648565769195557,182193,9553,17532,1
-13.0,1.1115235090255737,16.698638916015625,16.968639373779297,0.4000000059604645,16.813720703125,6.7222113609313965,182.86013793945312,6.714122772216797,170956,9124,16142,1
-11.0,0.7302894592285156,16.698638916015625,16.788639068603516,0.39500001072883606,16.96491050720215,4.730982303619385,123.978271484375,4.7209153175354,133316,8264,15246,1
-9.0,0.38115689158439636,16.698638916015625,17.0986385345459,0.20999999344348907,16.946880340576172,4.234091758728027,107.4740219116211,4.179197788238525,113057,8216,14712,1
-7.0,0.04491018131375313,16.698638916015625,16.888639450073242,0.4000000059604645,16.831464767456055,2.906923532485962,71.94387817382812,2.899937391281128,112138,7941,14129,1
-5.0,-0.2611261308193207,16.698638916015625,16.608638763427734,0.2849999964237213,16.630779266357422,7.59856653213501,189.70582580566406,7.59644079208374,123996,8203,13589,1
-3.0,-0.32772892713546753,16.698638916015625,16.588638305664062,0.26499998569488525,16.707305908203125,12.000716209411621,319.7447814941406,12.000303268432617,147572,8971,13822,1
-1.0,-0.15915098786354065,16.698638916015625,16.725000381469727,0.05000000074505806,16.71259117126465,22.619338989257812,743.83251953125,22.61151885986328,159835,9894,14686,1
1.0,0.208246111869812,16.283767700195312,16.683767318725586,0.23000000417232513,16.66713523864746,20.35100555419922,673.8619384765625,20.33847999572754,170468,10073,15872,1
3.0,0.5975877642631531,16.283767700195312,16.573768615722656,0.3400000035762787,16.642866134643555,4.729032516479492,122.51880645751953,4.728824615478516,182327,9663,17322,1
5.0,1.1186559200286865,16.283767700195312,16.51376724243164,0.28999999165534973,16.57120132446289,5.683238983154297,145.24229431152344,5.680782794952393,191294,11944,20084,1
7.0,1.7679522037506104,16.283767700195312,16.683767318725586,0.3799999952316284,16.56981658935547,2.8917691707611084,74.5706558227539,2.864290952682495,197220,12612,22591,1
9.0,2.255587339401245,16.283767700195312,nan,nan,16.56981658935547,-0.7138155102729797,-17.55938720703125,-0.7152520418167114,190344,11533,21638,0
