phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,n_depth,cluster_bin,success,sampler_used,optimizer_success,sampler_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_neglogpost,acc_frac,track_poly,track_resid
-20.0,-20.5625,-19.4375,0.40034475685255466,3.4003447568525544,2730,2124,14744,False,True,map,True,True,laplace_ok,1.9003447568525547,0.35,0.03156333869260364,0.01041385112129657,2.5106890141612084,0.052855299045698356,0.14444779370945582,0.03711026688445855,-0.0699658921117461,0.023799408122624738,86.16791463080793,28.429813561139635,76.59370189405149,25.270945387679674,211.5398602727163,88.45820159299456,3006.3461664236365,nan,2.3979835881282154,0.11270542603299294
-19.25,-19.8125,-18.6875,0.35864961625831926,3.3586496162583193,2893,2106,14797,False,True,map,True,True,laplace_ok,1.8586496162583193,0.35,0.03141808550967779,0.012056534937008168,1.9542666738895296,0.09050683242300292,0.21321478933700055,0.06558299084120334,-0.041215373412533014,0.02213700104298917,90.89252137949785,34.87955557276463,80.79335233733143,31.004049398013006,151.17095921421625,74.34670263332369,3183.7763109786765,nan,2.2122300993955646,-0.257963425506035
-18.5,-19.0625,-17.9375,0.3053843056855201,3.30538430568552,2829,2088,14542,False,True,map,True,True,laplace_ok,1.80538430568552,0.35,0.015311374375133264,0.005476163567076821,1.9188953689685042,0.018161351392026473,0.0362136145585939,0.015988803476904574,0.021156089626400355,0.022388264540747636,43.315878107252004,15.492066731260328,38.503002762001785,13.770725983342514,424.1630091722076,241.00901318778736,3099.0114955474933,nan,2.0325634536409707,-0.11366808467246647
-17.75,-18.3125,-17.1875,0.24054882513415743,3.2405488251341574,2802,2054,14215,False,True,map,True,True,laplace_ok,1.7405488251341574,0.35,0.06220552619006853,0.03674744973911463,1.7637615247797107,0.2210626273637109,0.52261945057066,0.22842431083112616,0.03956422813572639,0.029681288521750178,174.299884384572,102.9663541689992,154.93323056406402,91.52564815022151,118.2684958313311,86.91020444828312,3069.6115309273396,nan,1.8589836508644362,-0.09522212608472547
-17.0,-17.5625,-16.4375,0.16414317460422856,3.1641431746042286,2691,1886,13676,False,False,map,True,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH;laplace_failed:SVD did not converge,1.6641431746042286,0.35,0.24200977708594046,nan,1.7505238499207458,nan,1.2,nan,-0.010713891189476216,nan,651.2483101382658,nan,578.8873867895695,nan,192.4522118178809,nan,2936.974814586806,nan,1.6914906910659602,0.05903315885478566
-16.25,-16.8125,-15.6875,0.18863590368408278,3.188635903684083,2649,1826,13538,False,True,map,True,True,laplace_ok,1.6886359036840828,0.35,0.021734253608225115,0.008839442847815059,1.3506509153466606,0.02473130485050406,0.0655493817421967,0.037956786831041256,-0.004601894361470632,0.023363915533386445,57.57403780818833,23.41568410386209,51.17692249616741,20.81394142565519,311.46957640037385,220.39982680832438,2902.989406125393,nan,1.5300845742455425,-0.17943365889888185
-15.5,-16.0625,-14.9375,-0.03141970079416723,2.9685802992058328,2484,1842,13053,False,True,map,True,True,laplace_ok,1.4685802992058328,0.35,0.02606861527390045,0.014483300751670158,1.5940131870719212,0.1758785649244248,0.29355529176472905,0.11542350454673467,-0.0015300469890507935,0.02451717121293129,64.75444034036872,35.97651906714867,57.55950252477219,31.97912805968771,78.22348920355472,53.24216675582476,2734.408629013069,nan,1.3747653004031828,0.2192478866687384
-14.75,-15.3125,-14.1875,-0.16462399225194102,2.835376007748059,2453,1792,12618,False,True,map,True,True,laplace_ok,1.335376007748059,0.35,0.02122397736477959,0.0073199335902200645,1.3567474420548644,0.019353523615645084,0.04657886283375374,0.022330929276862126,-0.08163712276652901,0.024190154048939545,52.06241647580433,17.955797096809818,46.2777035340483,15.960708530497616,396.36288772245297,234.08723368348737,2669.832411005449,nan,1.2255328695388819,0.13121457251598256
-14.0,-14.5625,-13.4375,-0.2894996085702002,2.7105003914298,2465,1743,12437,False,True,map,True,True,laplace_ok,1.2105003914297998,0.35,0.035402615610351726,0.008842977333479262,1.2977615484399945,0.022610989469415997,0.08035563671061813,0.021750882977604056,-0.058220077923368745,0.0248352068463517,87.267447479517,21.797939127026382,77.57106442623734,19.37594589069012,385.1176918280874,141.84714733351348,2679.375423787523,nan,1.0823872816526394,0.21537426678735505
-13.25,-13.8125,-12.6875,-0.3506610970241679,2.649338902975832,2389,1649,12062,False,True,map,True,True,laplace_ok,1.149338902975832,0.35,0.12945419804850744,0.027780864147225776,1.0138653994242626,0.0747192156561279,0.41060891368218483,0.06268058476816012,0.062318442332947116,0.031203809444009044,309.2660791378843,66.36848444772238,274.90318145589714,58.99420839797545,267.0923558773749,70.34018208904868,2594.666396356336,nan,0.9453285367444553,0.0685368626798073
