# phi1_center  mu_prior
-2.000000000000000000e+01 1.900344756852554662e+00
-1.925000000000000000e+01 1.858649616258319259e+00
-1.850000000000000000e+01 1.805384305685520108e+00
-1.775000000000000000e+01 1.740548825134157429e+00
-1.700000000000000000e+01 1.664143174604228559e+00
-1.625000000000000000e+01 1.688635903684082784e+00
-1.550000000000000000e+01 1.468580299205832773e+00
-1.475000000000000000e+01 1.335376007748058980e+00
-1.400000000000000000e+01 1.210500391429799816e+00
-1.325000000000000000e+01 1.149338902975832077e+00
-1.250000000000000000e+01 1.035892788798937980e+00
-1.175000000000000000e+01 8.714767311104261172e-01
-1.100000000000000000e+01 7.302894879832890762e-01
-1.025000000000000000e+01 6.052336631026082880e-01
-9.500000000000000000e+00 4.717157571017958073e-01
-8.750000000000000000e+00 3.358774555122475691e-01
-8.000000000000000000e+00 2.110230589071493967e-01
-7.250000000000000000e+00 9.031921134415279995e-02
-6.500000000000000000e+00 -4.590788230673395476e-02
-5.750000000000000000e+00 -1.921134516294950578e-01
-5.000000000000000000e+00 -2.611261211708423291e-01
-4.250000000000000000e+00 -3.062778456851066311e-01
-3.500000000000000000e+00 -3.376534388918401297e-01
-2.750000000000000000e+00 -3.227666696319675954e-01
-2.000000000000000000e+00 -2.756599290029398408e-01
-1.250000000000000000e+00 -1.963332170047572545e-01
-5.000000000000000000e-01 -8.478653363741979476e-02
2.500000000000000000e-01 1.013176498949050347e-01
1.000000000000000000e+00 2.082461112548256166e-01
1.750000000000000000e+00 3.360143953756201118e-01
2.500000000000000000e+00 4.846225022572885344e-01
3.250000000000000000e+00 6.540704318998301625e-01
4.000000000000000000e+00 8.262088545368075909e-01
4.750000000000000000e+00 1.041775388953113612e+00
5.500000000000000000e+00 1.272417139913990525e+00
6.250000000000000000e+00 1.514858941518238078e+00
7.000000000000000000e+00 1.767952212828981740e+00
7.750000000000000000e+00 1.969093759750979444e+00
8.500000000000000000e+00 2.149345730276052358e+00
9.250000000000000000e+00 2.308708124404202255e+00
1.000000000000000000e+01 2.447180942135429138e+00
