phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,n_coverage,cluster_bin,success,sampler_used,optimizer_success,sampler_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_neglogpost,acc_frac,track_poly,track_resid
-20.0,-20.5625,-19.4375,0.40034475685255466,3.4003447568525544,2804,2124,91428,False,True,map,True,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; laplace_failed:SVD did not converge,1.9003447568525547,0.35,0.5273429525092543,nan,2.9928364967378536,nan,1.2,nan,-0.6333255507107001,nan,1478.6696388359492,nan,1314.3730122986215,nan,436.9658056870937,nan,3085.7140885416325,nan,nan,nan
-19.25,-19.8125,-18.6875,0.35864961625831926,3.3586496162583193,2959,2106,98067,False,True,map,True,True,laplace_ok,1.8586496162583193,0.35,0.02387688563179183,0.01184435748013371,1.974753219687498,0.10242142587230571,0.19619895867605447,0.07189228765675067,-0.036409010186550315,0.021866157962195615,70.65170458447203,35.047453783715646,62.801515186197356,31.153292252191687,127.69782189524216,78.75371044340017,3252.592202930742,nan,nan,nan
-18.5,-19.0625,-17.9375,0.3053843056855201,3.30538430568552,2883,2088,86886,False,True,map,True,True,laplace_ok,1.80538430568552,0.35,0.015075030760005059,0.0055451611292477235,1.9354058959545288,0.020687844491942067,0.04564074426275669,0.014064984039991119,0.025040108810509148,0.02212739375522266,43.46131368109458,15.986699535621186,38.632278827639624,14.210399587218832,337.681816139421,162.04205648790315,3153.2476774805405,nan,nan,nan
-17.75,-18.3125,-17.1875,0.24054882513415743,3.2405488251341574,2839,2054,89418,False,True,map,True,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; laplace_failed:SVD did not converge,1.7405488251341574,0.35,0.5020483211280791,nan,1.0571516248488613,nan,1.2,nan,0.6263805077163609,nan,1425.3151836826164,nan,1266.9468299401035,nan,421.19888123639254,nan,3097.2132351413197,nan,nan,nan
-17.0,-17.5625,-16.4375,0.16414317460422856,3.1641431746042286,2697,1886,87913,False,True,map,True,True,laplace_ok,1.6641431746042286,0.35,0.014900743396651905,0.005637555416217586,1.942563077885988,0.016942119251162027,0.03866574621987235,0.015155485771533308,0.004755944652623882,0.022990208422754198,40.18730494077019,15.20448695753883,35.72204883624017,13.515099517812294,368.5700398048091,200.78626347207603,2937.7174653564116,nan,nan,nan
-16.25,-16.8125,-15.6875,0.18863590368408278,3.188635903684083,2664,1826,82719,False,True,map,True,True,laplace_ok,1.6886359036840828,0.35,0.017760902131129904,0.006607002096444037,1.3494776588510724,0.025974927665413188,0.054120703042461894,0.023124877896484087,0.004166400353777242,0.023115309284195452,47.31504327733006,17.601053584926913,42.057816246515614,15.645380964379477,310.02260094302943,175.63617938314513,2912.93368821008,nan,nan,nan
-15.5,-16.0625,-14.9375,-0.03141970079416723,2.9685802992058328,2525,1842,80889,False,True,map,True,True,laplace_ok,1.4685802992058328,0.35,0.00916279205857933,0.006309343801744915,1.6656328202667579,0.04658927260997001,0.05558670098663297,0.035446415492512325,0.007528868018232376,0.023472219621169594,23.13604994791281,15.93109309940591,20.56537773147805,14.160971643916364,147.59643123065754,138.5190662901653,2772.7538804968176,nan,nan,nan
-14.75,-15.3125,-14.1875,-0.16462399225194102,2.835376007748059,2456,1792,81771,False,True,map,True,True,laplace_ok,1.335376007748059,0.35,0.018602682806458975,0.006960042373637959,1.3567736012839688,0.01579452336402872,0.037906780237807886,0.018153282793718615,-0.07588504857983196,0.024236546304110006,45.68818897266324,17.093864069654828,40.61172353125622,15.19454583969318,427.40991176117916,259.74443132414945,2665.6200807110163,nan,nan,nan
-14.0,-14.5625,-13.4375,-0.2894996085702002,2.7105003914298,2467,1743,88025,False,True,map,True,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; laplace_failed:SVD did not converge,1.2105003914297998,0.35,0.5970534818535048,nan,1.434868681522075,nan,1.2,nan,-0.1316370782220172,nan,1472.9309397325965,nan,1309.2719464289746,nan,435.26994664499796,nan,2679.260213869157,nan,nan,nan
-13.25,-13.8125,-12.6875,-0.3506610970241679,2.649338902975832,2405,1649,88171,False,True,map,True,False,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; laplace_failed:SVD did not converge,1.149338902975832,0.35,0.8019754885711636,nan,1.0502247446971296,nan,1.2,nan,0.6333255507121706,nan,1928.7510500136486,nan,1714.4453777899098,nan,569.970623866002,nan,2603.079640741769,nan,nan,nan
