phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,cluster_bin,success,optimizer_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_negloglike,acc_frac,track_poly,track_resid
-20.0,-20.5625,-19.4375,0.40034475685255466,2.5,13826,11548,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9003447568525547,0.3,0.0954982089346665,0.0024995052457773025,2.1992066393635428,0.033435187027401406,0.4627328787878379,0.02364224747731602,0.0,,191.53723059422302,13.839697633771593,255.38297412563068,18.452930178362124,146.7845644053782,12.989708822557814,-5544.93530328081,,2.286279080591215,-0.08707244122767221
-19.25,-19.8125,-18.6875,0.35864961625831926,2.5,13546,11179,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.8586496162583193,0.3,6.922747631654871e-08,2.2606519275344714e-06,1.8593768352814664,0.4750677063789372,0.4750677063789372,0.4750677063789372,0.0,,0.00015263751099314814,1.0,0.00020351668132419752,1.3333333333333333,0.00011393661416680228,0.7464522629642227,-6007.994079244652,,2.132278249625168,-0.27290141434370163
-18.5,-19.0625,-17.9375,0.3053843056855201,2.5,13178,10976,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.80538430568552,0.3,0.12536945403641644,0.0028845856325633817,2.036389009231722,0.021873630118417888,0.35495235300181976,0.015466992185899595,0.0,,263.3288188117163,16.227409491712358,351.1050917489551,21.63654598894981,263.07881377751056,19.85556771155278,-5914.009571944567,,1.981836092916668,0.05455291631505377
-17.75,-18.3125,-17.1875,0.24054882513415743,2.5,13162,10651,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7405488251341574,0.3,0.14631275989537423,0.0030805591568208697,1.8271955714570083,0.02453438514350667,0.43348907469653086,0.017348430107216057,0.0,,312.1806320074198,17.668634129649632,416.2408426765597,23.558178839532843,255.37909437102536,17.702230619325427,-5925.67220876287,,1.8349526104657148,-0.007757039008706501
-17.0,-17.5625,-16.4375,0.16414317460422856,2.5,12950,10494,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6641431746042286,0.3,0.1148747063762589,0.002802074634211805,1.9281746661984562,0.021330131827832482,0.32851533084863654,0.015082680859063356,0.0,,237.2051993217951,15.401467440532903,316.2735990957268,20.535289920710536,256.05078161411154,20.36149365692132,-5686.608329591747,,1.6916278022723081,0.2365468639261481
-16.25,-16.8125,-15.6875,0.18863590368408278,2.5,12369,9951,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6886359036840828,0.3,8.48948148210735e-05,8.284281588762126e-05,1.6468249650193938,0.0327963885377298,0.0327963885377298,0.0327963885377298,0.0,,0.18580871251477418,1.0,0.2477449500196989,1.3333333333333333,2.009081685017326,10.997703071392449,-5703.184102360134,,1.5518616683364486,0.09496329668294523
-15.5,-16.0625,-14.9375,-0.03141970079416723,2.5,12187,9905,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4685802992058328,0.3,0.005070100131939815,0.0006433630342290551,1.23790076104418,0.018460641287928105,0.06119475215217646,0.013053644639746323,0.0,,10.98840842675888,3.314876834327164,14.651211235678508,4.419835779102885,63.676349310363676,23.52644944126158,-5861.545704310488,,1.4156542086581356,-0.17775344761395573
-14.75,-15.3125,-14.1875,-0.16462399225194102,2.5,12014,9741,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.335376007748059,0.3,0.061010140546914095,0.00218367322979951,1.3109759569023995,0.015,0.11203713616071333,0.008,0.0,,131.5490298614852,11.469482545498083,175.39870648198027,15.292643393997444,416.37360814011754,46.9236385061843,-6052.866400754084,,1.2830054232373693,0.027970533665030217
-14.0,-14.5625,-13.4375,-0.2894996085702002,2.5,11728,9554,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2105003914297998,0.3,0.10738452758339755,0.0028588481104600103,1.3785480773272898,0.01802544525504476,0.2854354404748635,0.012745914573749026,0.0,,250.75164353196337,15.8351395172876,334.33552470928447,21.113519356383467,311.52538130241396,24.094458570567397,-6388.907171910061,,1.1539153120741497,0.22463276525314013
-13.25,-13.8125,-12.6875,-0.3506610970241679,2.5,11342,9490,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.149338902975832,0.3,0.15188466481948182,0.003370075263809092,0.980843044389384,0.018273763255830584,0.3440583745021681,0.012921501915995368,0.0,,354.49350141164456,18.827997806767574,472.65800188219276,25.1039970756901,365.37067562775536,23.76704446880316,-6288.487607020436,,1.0283838751684766,-0.04754083077909266
-12.5,-13.0625,-11.9375,-0.464107211201062,2.5,11075,9132,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.035892788798938,0.3,0.2094505316326358,0.0038666369032908854,1.1250380612242465,0.016151159862009507,0.357761514148357,0.011420594662454906,0.0,,490.6590440606212,22.15082490700112,654.212058747495,29.534433209334825,486.3441897491017,26.89053588871294,-6205.383100109516,,0.9064111125203508,0.21862694870389576
-11.75,-12.3125,-11.1875,-0.6285232688895739,2.371476731110426,9565,8064,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.8714767311104261,0.3,0.0005807579081169321,0.0002463365940138602,0.8523337597661779,0.06046046703851302,0.07036196914215666,0.042752006236638294,0.0,,1.3543564327855624,1.163768204061944,1.8058085770474166,1.5516909387492586,6.825783876137849,7.183426876888846,-5748.917210700601,,0.7879970241297715,0.0643367356364064
-11.0,-11.5625,-10.4375,-0.7697105120167109,2.2302894879832893,8043,7062,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.7302894879832891,0.3,0.058182461655389255,0.0026101796438859834,0.8998912726757722,0.021906189877961484,0.24740203510637837,0.015490015412666674,0.0,,127.54776123411871,11.293704495608104,170.0636816454916,15.058272660810806,182.8214359404746,19.826055846920394,-5564.132146934805,,0.6731416099967388,0.2267496626790334
-10.25,-10.8125,-9.6875,-0.8947663368973917,2.1052336631026085,7764,6739,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6052336631026083,0.3,0.09505461783865986,0.003328549583838566,0.5114938536166347,0.024280186300977443,0.3460912852969344,0.017168684381893864,0.0,,203.1782886557491,14.254062180857396,270.90438487433215,19.005416241143195,208.18247990996295,17.887562250550875,-5506.690092860455,,0.561844870121253,-0.05035101650461826
-9.5,-10.0625,-8.9375,-1.0282842428982042,1.9717157571017958,7420,6304,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.4717157571017958,0.3,0.11811489581028381,0.0037467644118203158,0.35053166906180616,0.015,0.2246503021477027,0.010164240981755472,0.0,,244.2497412053001,15.628491328509611,325.6663216070668,20.837988438012815,385.5534987779916,30.214347651972602,-5297.092294901773,,0.45410680450331375,-0.1035751354415076
-8.75,-9.3125,-8.1875,-1.1641225444877525,1.8358774555122475,7236,6089,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.33587745551224757,0.3,0.05961301395430022,0.0027833932258773063,0.24935719985844865,0.015,0.14726298738644059,0.009425752029234073,0.0,,122.04646266637843,11.047464083054464,162.72861688850458,14.729952110739285,293.8929265718474,32.58158178665158,-5170.869023079521,,0.3499274131429214,-0.10057021328447277
-8.0,-8.5625,-7.4375,-1.2889769410928507,1.7110230589071493,7610,6476,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2110230589071494,0.3,0.04223187769317628,0.0023054624672436625,0.2883312350277023,0.021905288815049082,0.20573660674197716,0.015489378264971038,0.0,,88.21149409923733,9.392097428116752,117.61532546564978,12.522796570822337,152.04465196048625,19.826871381642334,-5214.260719192215,,0.24930669604007571,0.03902453898762659
-7.25,-7.8125,-6.6875,-1.4096807886558471,1.5903192113441529,7940,6920,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0903192113441528,0.3,0.08440649903590666,0.003119816445635779,-0.01369895295945561,0.015,0.1929516638185517,0.010399866989447488,0.0,,172.11213434647237,13.119151433933231,229.4828457952965,17.492201911910975,316.31552345903685,29.529792155303575,-5261.913065048336,,0.15224465319477676,-0.16594360615423237
-6.5,-7.0625,-5.9375,-1.545907882306734,1.454092117693266,7424,6680,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.045907882306733955,0.3,0.07865399912603996,0.00312430051541198,-0.03554549556525004,0.015,0.11257802822667126,0.008,0.0,,158.39316741559603,12.585434732880547,211.19088988746137,16.780579643840728,498.9308395777537,53.18515327822669,-5208.1839568742935,,0.058741284607024435,-0.09428678017227447
-5.75,-6.3125,-5.1875,-1.6921134516294951,1.3078865483705049,6981,6299,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.19211345162949506,0.3,0.1936991376162958,0.0047299177283031185,-0.17395879023843727,0.015,0.28112815589647944,0.00979251297054289,0.0,,412.0883918201772,20.299960389620892,549.4511890935696,27.066613852827857,519.8087438029124,31.361297305911187,-5510.195763354976,,-0.03120340972318103,-0.14275538051525624
-5.0,-5.5625,-4.4375,-1.7611261211708422,1.2388738788291578,7601,7658,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.26112612117084233,0.3,0.06785313737976308,0.002884640996859723,-0.3032866203828905,0.015,0.11378644200749885,0.008,0.0,,148.82409345194964,12.199348074874724,198.43212460259952,16.2657974331663,463.8101745528126,50.08814236920567,-5477.7918331594565,,-0.11758942979583975,-0.18569719058705075
